original,disfluent,tokenized_disfluent,tokenized_fluent,disfluent_sentence,fluent_tokens,disfluent_tokens,annotations,disfl_type,label,degree
Which genus lack tentacles and sheaths,Juvenile platyctenids no wow Which genus lack tentacles and sheaths,"['Juvenile', 'platyctenids', 'no', 'wow', 'Which', 'genus', 'lack', 'tentacles', 'and', 'sheaths']","['Which', 'genus', 'lack', 'tentacles', 'and', 'sheaths']",Which genus lack tentacle I meant tentacles and sheaths,"['Which', 'genus', 'lack', 'tentacles', 'and', 'sheaths']","['Which', 'genus', 'lack', 'tentacle', 'I', 'meant', 'tentacles', 'and', 'sheaths']","['F', 'F', 'F', 'D', 'D', 'D', 'F', 'F', 'F']",noun_with_cue,2,N/A
Longlived memory cells can remember previous encounters with what,When a pathogen is met again scratch that I mean longlived memory cells are capable of remembering previous encounters with what,"['When', 'a', 'pathogen', 'is', 'met', 'again', 'scratch', 'that', 'I', 'mean', 'longlived', 'memory', 'cells', 'are', 'capable', 'of', 'remembering', 'previous', 'encounters', 'with', 'what']","['Longlived', 'memory', 'cells', 'can', 'remember', 'previous', 'encounters', 'with', 'what']",Longlived memory cells can remember previous encounter well I actually meant encounters with what,"['Longlived', 'memory', 'cells', 'can', 'remember', 'previous', 'encounters', 'with', 'what']","['Longlived', 'memory', 'cells', 'can', 'remember', 'previous', 'encounter', 'well', 'I', 'actually', 'meant', 'encounters', 'with', 'what']","['F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F']",noun_with_cue,2,N/A
How long did Julia Butterfly Hill live near a nuclearmissile installation,Did Julia Butterfly wait How long did Julia Butterfly Hill live near a nuclearmissile installation,"['Did', 'Julia', 'Butterfly', 'wait', 'How', 'long', 'did', 'Julia', 'Butterfly', 'Hill', 'live', 'near', 'a', 'nuclearmissile', 'installation']","['How', 'long', 'did', 'Julia', 'Butterfly', 'Hill', 'live', 'near', 'a', 'nuclearmissile', 'installation']",How long did Julia Butterfly Hill live near a nuclearmissile entry actually no a nuclearmissile installation,"['How', 'long', 'did', 'Julia', 'Butterfly', 'Hill', 'live', 'near', 'a', 'nuclearmissile', 'installation']","['How', 'long', 'did', 'Julia', 'Butterfly', 'Hill', 'live', 'near', 'a', 'nuclearmissile', 'entry', 'actually', 'no', 'a', 'nuclearmissile', 'installation']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F']",noun_with_cue,2,N/A
When was Warsaw ranked as the 22nd most liveable city in the world,When was Frankfurt ranked as the 22nd most liveable city in the world no sorry it was Warsaw,"['When', 'was', 'Frankfurt', 'ranked', 'as', 'the', '22nd', 'most', 'liveable', 'city', 'in', 'the', 'world', 'no', 'sorry', 'it', 'was', 'Warsaw']","['When', 'was', 'Warsaw', 'ranked', 'as', 'the', '22nd', 'most', 'liveable', 'city', 'in', 'the', 'world']",When was Warsaw ranked as the 22nd most liveable city in the reality I mean the world,"['When', 'was', 'Warsaw', 'ranked', 'as', 'the', '22nd', 'most', 'liveable', 'city', 'in', 'the', 'world']","['When', 'was', 'Warsaw', 'ranked', 'as', 'the', '22nd', 'most', 'liveable', 'city', 'in', 'the', 'reality', 'I', 'mean', 'the', 'world']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'F', 'F']",noun_with_cue,2,N/A
What is the name of the supposition that any number larger than 2 can be represented as the sum of two primes,What is the name of the number theory or rather the supposition that any number larger than 2 can be represented as the sum of two primes,"['What', 'is', 'the', 'name', 'of', 'the', 'number', 'theory', 'or', 'rather', 'the', 'supposition', 'that', 'any', 'number', 'larger', 'than', '2', 'can', 'be', 'represented', 'as', 'the', 'sum', 'of', 'two', 'primes']","['What', 'is', 'the', 'name', 'of', 'the', 'supposition', 'that', 'any', 'number', 'larger', 'than', '2', 'can', 'be', 'represented', 'as', 'the', 'sum', 'of', 'two', 'primes']",What is the name of the supposition that any number larger than 2 can be represented as the amount well I actually meant the sum of two primes,"['What', 'is', 'the', 'name', 'of', 'the', 'supposition', 'that', 'any', 'number', 'larger', 'than', '2', 'can', 'be', 'represented', 'as', 'the', 'sum', 'of', 'two', 'primes']","['What', 'is', 'the', 'name', 'of', 'the', 'supposition', 'that', 'any', 'number', 'larger', 'than', '2', 'can', 'be', 'represented', 'as', 'the', 'amount', 'well', 'I', 'actually', 'meant', 'the', 'sum', 'of', 'two', 'primes']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
What type of wages does mechanization and automation lead to,What type of wages does equipment for labor no the mechanization and automation lead to,"['What', 'type', 'of', 'wages', 'does', 'equipment', 'for', 'labor', 'no', 'the', 'mechanization', 'and', 'automation', 'lead', 'to']","['What', 'type', 'of', 'wages', 'does', 'mechanization', 'and', 'automation', 'lead', 'to']",What type of wages does mechanization and mechanisation actually no and automation lead to,"['What', 'type', 'of', 'wages', 'does', 'mechanization', 'and', 'automation', 'lead', 'to']","['What', 'type', 'of', 'wages', 'does', 'mechanization', 'and', 'mechanisation', 'actually', 'no', 'and', 'automation', 'lead', 'to']","['F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
What type of entrepreneurship leads to advancements in technology,What type of impact or  entrepreneurship leads to advancements in technology,"['What', 'type', 'of', 'impact', 'or', 'entrepreneurship', 'leads', 'to', 'advancements', 'in', 'technology']","['What', 'type', 'of', 'entrepreneurship', 'leads', 'to', 'advancements', 'in', 'technology']",What type of entrepreneurship leads to advancement well I actually meant to advancements in technology,"['What', 'type', 'of', 'entrepreneurship', 'leads', 'to', 'advancements', 'in', 'technology']","['What', 'type', 'of', 'entrepreneurship', 'leads', 'to', 'advancement', 'well', 'I', 'actually', 'meant', 'to', 'advancements', 'in', 'technology']","['F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
What does the highest level of the Vistula plateau contain,Why does What does the highest level of the Vistula plateau contain,"['Why', 'does', 'What', 'does', 'the', 'highest', 'level', 'of', 'the', 'Vistula', 'plateau', 'contain']","['What', 'does', 'the', 'highest', 'level', 'of', 'the', 'Vistula', 'plateau', 'contain']",What does the highest former actually no level of the Vistula plateau contain,"['What', 'does', 'the', 'highest', 'level', 'of', 'the', 'Vistula', 'plateau', 'contain']","['What', 'does', 'the', 'highest', 'former', 'actually', 'no', 'level', 'of', 'the', 'Vistula', 'plateau', 'contain']","['F', 'F', 'F', 'F', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
What percentage of Venice residents died of the plague in 1361,What percentage of Parisian residents died of the plague in 1361 no Venice residents,"['What', 'percentage', 'of', 'Parisian', 'residents', 'died', 'of', 'the', 'plague', 'in', '1361', 'no', 'Venice', 'residents']","['What', 'percentage', 'of', 'Venice', 'residents', 'died', 'of', 'the', 'plague', 'in', '1361']",What percentage of Venice extern I mean residents died of the plague in 1361,"['What', 'percentage', 'of', 'Venice', 'residents', 'died', 'of', 'the', 'plague', 'in', '1361']","['What', 'percentage', 'of', 'Venice', 'extern', 'I', 'mean', 'residents', 'died', 'of', 'the', 'plague', 'in', '1361']","['F', 'F', 'F', 'F', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
What is the effect of beta decay,What is the result of no no I mean what is the effect of beta decay,"['What', 'is', 'the', 'result', 'of', 'no', 'no', 'I', 'mean', 'what', 'is', 'the', 'effect', 'of', 'beta', 'decay']","['What', 'is', 'the', 'effect', 'of', 'beta', 'decay']",What is the effect of b well I actually mean of beta decay,"['What', 'is', 'the', 'effect', 'of', 'beta', 'decay']","['What', 'is', 'the', 'effect', 'of', 'b', 'well', 'I', 'actually', 'mean', 'of', 'beta', 'decay']","['F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F']",noun_with_cue,2,N/A
