original,disfluent,tokenized_disfluent,tokenized_fluent,disfluent_sentence,fluent_tokens,disfluent_tokens,annotations,disfl_type,degree,label
What is the basic unit of territorial division in Warsaw,What is the second level of territorial division in Poland no make that the basic unit of territorial division in Warsaw,"['What', 'is', 'the', 'second', 'level', 'of', 'territorial', 'division', 'in', 'Poland', 'no', 'make', 'that', 'the', 'basic', 'unit', 'of', 'territorial', 'division', 'in', 'Warsaw']","['What', 'is', 'the', 'basic', 'unit', 'of', 'territorial', 'division', 'in', 'Warsaw']",Tymnet worked What is the basic unit of territorial division in Warsaw,"['What', 'is', 'the', 'basic', 'unit', 'of', 'territorial', 'division', 'in', 'Warsaw']","['Tymnet', 'worked', 'What', 'is', 'the', 'basic', 'unit', 'of', 'territorial', 'division', 'in', 'Warsaw']","['D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Which genus lack tentacles and sheaths,Juvenile platyctenids no wow Which genus lack tentacles and sheaths,"['Juvenile', 'platyctenids', 'no', 'wow', 'Which', 'genus', 'lack', 'tentacles', 'and', 'sheaths']","['Which', 'genus', 'lack', 'tentacles', 'and', 'sheaths']",What do petrologists Which genus lack tentacles and sheaths,"['Which', 'genus', 'lack', 'tentacles', 'and', 'sheaths']","['What', 'do', 'petrologists', 'Which', 'genus', 'lack', 'tentacles', 'and', 'sheaths']","['D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Longlived memory cells can remember previous encounters with what,When a pathogen is met again scratch that I mean longlived memory cells are capable of remembering previous encounters with what,"['When', 'a', 'pathogen', 'is', 'met', 'again', 'scratch', 'that', 'I', 'mean', 'longlived', 'memory', 'cells', 'are', 'capable', 'of', 'remembering', 'previous', 'encounters', 'with', 'what']","['Longlived', 'memory', 'cells', 'can', 'remember', 'previous', 'encounters', 'with', 'what']",What is a complex Longlived memory cells can remember previous encounters with what,"['Longlived', 'memory', 'cells', 'can', 'remember', 'previous', 'encounters', 'with', 'what']","['What', 'is', 'a', 'complex', 'Longlived', 'memory', 'cells', 'can', 'remember', 'previous', 'encounters', 'with', 'what']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
How long did Julia Butterfly Hill live near a nuclearmissile installation,Did Julia Butterfly wait How long did Julia Butterfly Hill live near a nuclearmissile installation,"['Did', 'Julia', 'Butterfly', 'wait', 'How', 'long', 'did', 'Julia', 'Butterfly', 'Hill', 'live', 'near', 'a', 'nuclearmissile', 'installation']","['How', 'long', 'did', 'Julia', 'Butterfly', 'Hill', 'live', 'near', 'a', 'nuclearmissile', 'installation']",Stage 2 of the How long did Julia Butterfly Hill live near a nuclearmissile installation,"['How', 'long', 'did', 'Julia', 'Butterfly', 'Hill', 'live', 'near', 'a', 'nuclearmissile', 'installation']","['Stage', '2', 'of', 'the', 'How', 'long', 'did', 'Julia', 'Butterfly', 'Hill', 'live', 'near', 'a', 'nuclearmissile', 'installation']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
When was Warsaw ranked as the 22nd most liveable city in the world,When was Frankfurt ranked as the 22nd most liveable city in the world no sorry it was Warsaw,"['When', 'was', 'Frankfurt', 'ranked', 'as', 'the', '22nd', 'most', 'liveable', 'city', 'in', 'the', 'world', 'no', 'sorry', 'it', 'was', 'Warsaw']","['When', 'was', 'Warsaw', 'ranked', 'as', 'the', '22nd', 'most', 'liveable', 'city', 'in', 'the', 'world']",In Sept 1706 who When was Warsaw ranked as the 22nd most liveable city in the world,"['When', 'was', 'Warsaw', 'ranked', 'as', 'the', '22nd', 'most', 'liveable', 'city', 'in', 'the', 'world']","['In', 'Sept', '1706', 'who', 'When', 'was', 'Warsaw', 'ranked', 'as', 'the', '22nd', 'most', 'liveable', 'city', 'in', 'the', 'world']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Which group sets the time agenda,Who represents instead how about which group sets the time agenda,"['Who', 'represents', 'instead', 'how', 'about', 'which', 'group', 'sets', 'the', 'time', 'agenda']","['Which', 'group', 'sets', 'the', 'time', 'agenda']",Jules Ferry thot Which group sets the time agenda,"['Which', 'group', 'sets', 'the', 'time', 'agenda']","['Jules', 'Ferry', 'thot', 'Which', 'group', 'sets', 'the', 'time', 'agenda']","['D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
When three forces act on a point particle what happens,What geometric er when three forces act on a point particle what happens,"['What', 'geometric', 'er', 'when', 'three', 'forces', 'act', 'on', 'a', 'point', 'particle', 'what', 'happens']","['When', 'three', 'forces', 'act', 'on', 'a', 'point', 'particle', 'what', 'happens']",What year did Iqbal When three forces act on a point particle what happens,"['When', 'three', 'forces', 'act', 'on', 'a', 'point', 'particle', 'what', 'happens']","['What', 'year', 'did', 'Iqbal', 'When', 'three', 'forces', 'act', 'on', 'a', 'point', 'particle', 'what', 'happens']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What profession does Zbigniew Marek have,What profession does Irena Bajerska no Zbigniew Marek have,"['What', 'profession', 'does', 'Irena', 'Bajerska', 'no', 'Zbigniew', 'Marek', 'have']","['What', 'profession', 'does', 'Zbigniew', 'Marek', 'have']",Why were Southern Chinese What profession does Zbigniew Marek have,"['What', 'profession', 'does', 'Zbigniew', 'Marek', 'have']","['Why', 'were', 'Southern', 'Chinese', 'What', 'profession', 'does', 'Zbigniew', 'Marek', 'have']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What type of entrepreneurship leads to advancements in technology,What type of impact or  entrepreneurship leads to advancements in technology,"['What', 'type', 'of', 'impact', 'or', 'entrepreneurship', 'leads', 'to', 'advancements', 'in', 'technology']","['What', 'type', 'of', 'entrepreneurship', 'leads', 'to', 'advancements', 'in', 'technology']",When did What type of entrepreneurship leads to advancements in technology,"['What', 'type', 'of', 'entrepreneurship', 'leads', 'to', 'advancements', 'in', 'technology']","['When', 'did', 'What', 'type', 'of', 'entrepreneurship', 'leads', 'to', 'advancements', 'in', 'technology']","['D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What percentage of Venice residents died of the plague in 1361,What percentage of Parisian residents died of the plague in 1361 no Venice residents,"['What', 'percentage', 'of', 'Parisian', 'residents', 'died', 'of', 'the', 'plague', 'in', '1361', 'no', 'Venice', 'residents']","['What', 'percentage', 'of', 'Venice', 'residents', 'died', 'of', 'the', 'plague', 'in', '1361']",When did economists reach a conclusion with What percentage of Venice residents died of the plague in 1361,"['What', 'percentage', 'of', 'Venice', 'residents', 'died', 'of', 'the', 'plague', 'in', '1361']","['When', 'did', 'economists', 'reach', 'a', 'conclusion', 'with', 'What', 'percentage', 'of', 'Venice', 'residents', 'died', 'of', 'the', 'plague', 'in', '1361']","['D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
